TaxaID,SampleID,CollDate,N_TAXA,Changed,Rationale,OTU_BCG_MariNW,Match_Official,NonTarget,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,Thermal_indicator,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Ironodes,05014REF,8/3/2005,1,no,,Ironodes,TRUE,FALSE,3,SC,uni,RHEO,NA,cool,,16.64769966,20.47,,,100666,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Ironodes,,,,,,Ephemeroptera
Malenka,06095DFW,8/7/2006,13,no,,Malenka,TRUE,FALSE,4,SH,uni,RHEO,NA,cool,,18.41402553,21.8,,,102567,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Amphinemurinae,,,Malenka,,,,,,Plecoptera
Malenka,05014REFa,8/3/2005,20,no,,Malenka,TRUE,FALSE,4,SH,uni,RHEO,NA,cool,,18.41402553,21.8,,,102567,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Amphinemurinae,,,Malenka,,,,,,Plecoptera
Malenka,05014REF,8/3/2005,9,no,,Malenka,TRUE,FALSE,4,SH,uni,RHEO,NA,cool,,18.41402553,21.8,,,102567,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Amphinemurinae,,,Malenka,,,,,,Plecoptera
Micrasema,05014REF,8/3/2005,7,no,,Micrasema,TRUE,FALSE,3,CG,semi,RHEO,NA,cool,,16.69097063,20.884,,,116958,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,Micrasema,,,,,,Trichoptera
Micrasema,05014REFa,8/3/2005,2,no,,Micrasema,TRUE,FALSE,3,CG,semi,RHEO,NA,cool,,16.69097063,20.884,,,116958,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,Micrasema,,,,,,Trichoptera
Micropsectra,06095DFW,8/7/2006,78,no,,Micropsectra,TRUE,FALSE,4,CG,multi,GENE,NA,eurythermal,,17.83960257,22.56,eurythermal,,129890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Micropsectra,,,,,,Chironomidae
Micropsectra,05014REFa,8/3/2005,6,no,,Micropsectra,TRUE,FALSE,4,CG,multi,GENE,NA,eurythermal,,17.83960257,22.56,eurythermal,,129890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Micropsectra,,,,,,Chironomidae
Micropsectra,05014REF,8/3/2005,4,no,,Micropsectra,TRUE,FALSE,4,CG,multi,GENE,NA,eurythermal,,17.83960257,22.56,eurythermal,,129890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Micropsectra,,,,,,Chironomidae
Microtendipes,05014REF,8/3/2005,1,no,,Microtendipes,TRUE,FALSE,4,CF,multi,GENE,NA,warm,,20.41192963,23.88,,yes,129535,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Microtendipes,,,,,,Chironomidae
Neophylax splendens,05014REF,8/3/2005,1,no,,Neophylax splendens,TRUE,FALSE,3,SC,uni,RHEO,NA,cool,,17.05364978,20.448,,,116063,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Thremmatidae,,,,Neophylax,,,,,splendens,Trichoptera
Neotrichia,05014REF,8/3/2005,2,no,,Neotrichia,TRUE,FALSE,3,SC,multi,RHEO,NA,,Less30,NA,NA,,,115833,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydroptilidae,Hydroptilinae,Neotrichiini,,Neotrichia,,,,,,Trichoptera
Oligochaeta,05014REF,8/3/2005,24,no,,Oligochaeta,TRUE,FALSE,4,CG,uni,GENE,NA,eurythermal,,18.18179041,23.21,,,68422,Animalia,Annelida,,Clitellata,Oligochaeta,,,,,,,,,,,,,,Oligochaeta
Oligochaeta,05014REFa,8/3/2005,10,no,,Oligochaeta,TRUE,FALSE,4,CG,uni,GENE,NA,eurythermal,,18.18179041,23.21,,,68422,Animalia,Annelida,,Clitellata,Oligochaeta,,,,,,,,,,,,,,Oligochaeta
Optioservus,06095DFW,8/7/2006,2,no,,Optioservus,TRUE,FALSE,4,SC,semi,RHEO,NA,warm,,21.02653404,23.972,warm,,114177,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Optioservus,,,,,,Coleoptera
Optioservus,05014REF,8/3/2005,1,no,,Optioservus,TRUE,FALSE,4,SC,semi,RHEO,NA,warm,,21.02653404,23.972,warm,,114177,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Optioservus,,,,,,Coleoptera
Ordobrevia nubifera,05014REF,8/3/2005,34,yes,only one species in Genus,Ordobrevia,TRUE,FALSE,3,CG,semi,RHEO,TRUE,warm,,20.31703886,25.222,,,114235,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Ordobrevia,,,,,,Coleoptera
Ordobrevia nubifera,05014REFa,8/3/2005,51,yes,only one species in Genus,Ordobrevia,TRUE,FALSE,3,CG,semi,RHEO,TRUE,warm,,20.31703886,25.222,,,114235,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Ordobrevia,,,,,,Coleoptera
Orthocladiinae,05014REFa,8/3/2005,1,no,,Orthocladiinae,TRUE,FALSE,4,CG,multi,GENE,NA,eurythermal,,17.86830271,22.972,,yes,128457,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,,,,,,,Chironomidae
Orthocladiinae,05014REF,8/3/2005,7,no,,Orthocladiinae,TRUE,FALSE,4,CG,multi,GENE,NA,eurythermal,,17.86830271,22.972,,yes,128457,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,,,,,,,Chironomidae
Orthocladius complex,05014REFa,8/3/2005,7,no,,Orthocladius complex,TRUE,FALSE,4,CG,multi,GENE,NA,warm,,20.92699404,25.59,,,128874,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Orthocladius,,,,,,Chironomidae
Orthocladius complex,05014REF,8/3/2005,7,no,,Orthocladius complex,TRUE,FALSE,4,CG,multi,GENE,NA,warm,,20.92699404,25.59,,,128874,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Orthocladius,,,,,,Chironomidae
Parametriocnemus,05014REF,8/3/2005,1,no,,Parametriocnemus,TRUE,FALSE,4,CG,multi,RHEO,NA,eurythermal,,18.27948089,22.788,eurythermal,,128978,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Parametriocnemus,,,,,,Chironomidae
Parametriocnemus,05014REFa,8/3/2005,1,no,,Parametriocnemus,TRUE,FALSE,4,CG,multi,RHEO,NA,eurythermal,,18.27948089,22.788,eurythermal,,128978,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Parametriocnemus,,,,,,Chironomidae
Parametriocnemus,06095DFW,8/7/2006,1,no,,Parametriocnemus,TRUE,FALSE,4,CG,multi,RHEO,NA,eurythermal,,18.27948089,22.788,eurythermal,,128978,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Parametriocnemus,,,,,,Chironomidae
Perlidae,06095DFW,8/7/2006,56,no,,Perlidae,TRUE,FALSE,3,PR,semi,RHEO,NA,eurythermal,,17.92205736,22.1,,yes,102914,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlidae,,,,,,,,,,Plecoptera
Perlidae,05014REFa,8/3/2005,14,no,,Perlidae,TRUE,FALSE,3,PR,semi,RHEO,NA,eurythermal,,17.92205736,22.1,,yes,102914,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlidae,,,,,,,,,,Plecoptera
Perlidae,05014REF,8/3/2005,15,no,,Perlidae,TRUE,FALSE,3,PR,semi,RHEO,NA,eurythermal,,17.92205736,22.1,,yes,102914,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlidae,,,,,,,,,,Plecoptera
Potthastia,05014REF,8/3/2005,3,no,,Potthastia,TRUE,FALSE,3,CG,multi,GENE,NA,warm,,20.17500002,24.039,,yes,128408,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,Diamesini,,Potthastia,,,,,,Chironomidae
Rheotanytarsus,05014REF,8/3/2005,3,no,,Rheotanytarsus,TRUE,FALSE,4,CF,multi,RHEO,NA,warm,,20.35254249,24.25,,,129952,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Rheotanytarsus,,,,,,Chironomidae
Rheotanytarsus,05014REFa,8/3/2005,2,no,,Rheotanytarsus,TRUE,FALSE,4,CF,multi,RHEO,NA,warm,,20.35254249,24.25,,,129952,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Rheotanytarsus,,,,,,Chironomidae
Rhyacophila angelita group,05014REFa,8/3/2005,6,no,formatting,Rhyacophila angelita group,TRUE,FALSE,3,PR,uni,RHEO,NA,cool,,17.63768104,20.828,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Angelita Gr.,,,,Trichoptera
Rhyacophila angelita group,05014REF,8/3/2005,5,no,formatting,Rhyacophila angelita group,TRUE,FALSE,3,PR,uni,RHEO,NA,cool,,17.63768104,20.828,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Angelita Gr.,,,,Trichoptera
Rhyacophila betteni group,06095DFW,8/7/2006,17,no,formatting,Rhyacophila betteni group,TRUE,FALSE,3,PR,semi,RHEO,NA,cool,,16.43723264,20.603,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Betteni Gr.,,,,Trichoptera
Rhyacophila betteni group,05014REF,8/3/2005,3,no,formatting,Rhyacophila betteni group,TRUE,FALSE,3,PR,semi,RHEO,NA,cool,,16.43723264,20.603,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Betteni Gr.,,,,Trichoptera
Rhyacophila betteni group,05014REFa,8/3/2005,3,no,formatting,Rhyacophila betteni group,TRUE,FALSE,3,PR,semi,RHEO,NA,cool,,16.43723264,20.603,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Betteni Gr.,,,,Trichoptera
Rhyacophila brunnea/vemna groups,06095DFW,8/7/2006,1,no,formatting,Rhyacophila brunnea/vemna groups,TRUE,FALSE,4,PR,semi,RHEO,NA,cool,,16.50559034,20.485,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,,Brunnea/Vemna Gr.,,,Trichoptera
Rhyacophila brunnea/vemna groups,05014REF,8/3/2005,1,no,formatting,Rhyacophila brunnea/vemna groups,TRUE,FALSE,4,PR,semi,RHEO,NA,cool,,16.50559034,20.485,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,,Brunnea/Vemna Gr.,,,Trichoptera
Rhyacophila brunnea/vemna groups,05014REFa,8/3/2005,1,no,formatting,Rhyacophila brunnea/vemna groups,TRUE,FALSE,4,PR,semi,RHEO,NA,cool,,16.50559034,20.485,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,,Brunnea/Vemna Gr.,,,Trichoptera
Rhyacophila hyalinata group,05014REF,8/3/2005,2,no,formatting,Rhyacophila hyalinata group,TRUE,FALSE,2,PR,semi,RHEO,NA,cool,,14.76261187,20.23,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Hyalinata Gr.,,,,Trichoptera
Rhyacophila hyalinata group,05014REFa,8/3/2005,2,no,formatting,Rhyacophila hyalinata group,TRUE,FALSE,2,PR,semi,RHEO,NA,cool,,14.76261187,20.23,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Hyalinata Gr.,,,,Trichoptera
Rhyacophila narvae,06095DFW,8/7/2006,7,no,formatting,Rhyacophila narvae,TRUE,FALSE,3,PR,uni,RHEO,NA,cool,,16.53536714,20.248,,,115155,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Sibirica Gr.,narvae subgroup,,narvae,Trichoptera
Rhyacophila narvae,05014REF,8/3/2005,1,no,formatting,Rhyacophila narvae,TRUE,FALSE,3,PR,uni,RHEO,NA,cool,,16.53536714,20.248,,,115155,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Sibirica Gr.,narvae subgroup,,narvae,Trichoptera
Simulium,05014REFa,8/3/2005,2,no,,Simulium,TRUE,FALSE,4,CF,multi,RHEO,NA,eurythermal,,18.75321663,22.922,eurythermal,,126774,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Simuliidae,Simuliinae,Simuliini,,Simulium,,,,,,Diptera
Simulium,05014REF,8/3/2005,3,no,,Simulium,TRUE,FALSE,4,CF,multi,RHEO,NA,eurythermal,,18.75321663,22.922,eurythermal,,126774,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Simuliidae,Simuliinae,Simuliini,,Simulium,,,,,,Diptera
Simulium,06095DFW,8/7/2006,9,no,,Simulium,TRUE,FALSE,4,CF,multi,RHEO,NA,eurythermal,,18.75321663,22.922,eurythermal,,126774,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Simuliidae,Simuliinae,Simuliini,,Simulium,,,,,,Diptera
Tanytarsini,06095DFW,8/7/2006,2,no,,Tanytarsini,TRUE,FALSE,4,CF,multi,GENE,NA,eurythermal,,18.64165145,23.47,,yes,129872,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,,,,,,,Chironomidae
Tanytarsini,05014REF,8/3/2005,1,no,,Tanytarsini,TRUE,FALSE,4,CF,multi,GENE,NA,eurythermal,,18.64165145,23.47,,yes,129872,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,,,,,,,Chironomidae
Tanytarsus,05014REFa,8/3/2005,1,no,,Tanytarsus,TRUE,FALSE,4,CF,multi,GENE,NA,warm,,19.94547594,24.458,,,129978,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Tanytarsus,,,,,,Chironomidae
Tanytarsus,05014REF,8/3/2005,1,no,,Tanytarsus,TRUE,FALSE,4,CF,multi,GENE,NA,warm,,19.94547594,24.458,,,129978,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Tanytarsus,,,,,,Chironomidae
Thienemannimyia group,06095DFW,8/7/2006,1,no,These should all have been Group,Thienemannimyia group,TRUE,FALSE,4,PR,multi,GENE,NA,warm,,20.24182417,23.969,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,Thienemannimyia Gr.,,,,,,,Chironomidae
Thienemannimyia group,05014REF,8/3/2005,5,no,These should all have been Group,Thienemannimyia group,TRUE,FALSE,4,PR,multi,GENE,NA,warm,,20.24182417,23.969,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,Thienemannimyia Gr.,,,,,,,Chironomidae
Thienemannimyia group,05014REFa,8/3/2005,1,no,These should all have been Group,Thienemannimyia group,TRUE,FALSE,4,PR,multi,GENE,NA,warm,,20.24182417,23.969,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,Thienemannimyia Gr.,,,,,,,Chironomidae
Trombidiformes,06095DFW,8/7/2006,5,no,,Trombidiformes,TRUE,FALSE,4,PR,multi,UNKN,NA,eurythermal,,17.79456348,22.284,,,82769,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,,,,,,,,,,,,,Other Non-Insect
Trombidiformes,05014REFa,8/3/2005,19,no,,Trombidiformes,TRUE,FALSE,4,PR,multi,UNKN,NA,eurythermal,,17.79456348,22.284,,,82769,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,,,,,,,,,,,,,Other Non-Insect
