TaxaID,SampleID,CollDate,N_TAXA,Changed,Rationale,OTU_BCG_MariNW,Match_Official,NonTarget,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,Thermal_indicator,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Trombidiformes,05014REF,8/3/2005,18,no,,Trombidiformes,TRUE,FALSE,4,PR,multi,UNKN,NA,eurythermal,,17.79456348,22.284,,,82769,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,,,,,,,,,,,,,Other Non-Insect
Tvetenia bavarica group,05014REFa,8/3/2005,2,no,FORMATTING,Tvetenia bavarica group,TRUE,FALSE,4,CG,multi,RHEO,NA,cool,,17.46887274,21.38,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Tvetenia,,Bavarica Gr.,,,,Chironomidae
Tvetenia bavarica group,06095DFW,8/7/2006,1,no,FORMATTING,Tvetenia bavarica group,TRUE,FALSE,4,CG,multi,RHEO,NA,cool,,17.46887274,21.38,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Tvetenia,,Bavarica Gr.,,,,Chironomidae
Tvetenia bavarica group,05014REF,8/3/2005,1,no,FORMATTING,Tvetenia bavarica group,TRUE,FALSE,4,CG,multi,RHEO,NA,cool,,17.46887274,21.38,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Tvetenia,,Bavarica Gr.,,,,Chironomidae
Uenoidae,05014REF,8/3/2005,1,no,,Uenoidae,TRUE,FALSE,2,SC,semi,RHEO,NA,cool,,14.91743954,20.761,,yes,568757,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Uenoidae,,,,,,,,,,Trichoptera
Uenoidae,05014REFa,8/3/2005,3,no,,Uenoidae,TRUE,FALSE,2,SC,semi,RHEO,NA,cool,,14.91743954,20.761,,yes,568757,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Uenoidae,,,,,,,,,,Trichoptera
Wormaldia,05014REFa,8/3/2005,4,no,,Wormaldia,TRUE,FALSE,4,CF,multi,RHEO,NA,cowa,,18.9213536,22.396,coolwarm,,115258,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Philopotamidae,Philopotaminae,,,Wormaldia,,,,,,Trichoptera
Wormaldia,05014REF,8/3/2005,2,no,,Wormaldia,TRUE,FALSE,4,CF,multi,RHEO,NA,cowa,,18.9213536,22.396,coolwarm,,115258,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Philopotamidae,Philopotaminae,,,Wormaldia,,,,,,Trichoptera
Zaitzevia,06095DFW,8/7/2006,1,no,,Zaitzevia,TRUE,FALSE,4,CG,semi,RHEO,NA,warm,,20.83275518,23.565,,,114205,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Zaitzevia,,,,,,Coleoptera
Zaitzevia,05014REFa,8/3/2005,6,no,,Zaitzevia,TRUE,FALSE,4,CG,semi,RHEO,NA,warm,,20.83275518,23.565,,,114205,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Zaitzevia,,,,,,Coleoptera
Zaitzevia,05014REF,8/3/2005,5,no,,Zaitzevia,TRUE,FALSE,4,CG,semi,RHEO,NA,warm,,20.83275518,23.565,,,114205,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Zaitzevia,,,,,,Coleoptera
Zapada cinctipes,06095DFW,8/7/2006,10,no,,Zapada cinctipes,TRUE,FALSE,4,SH,uni,RHEO,NA,cool,,18.05684665,21.972,,,102594,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Nemourinae,,,Zapada,,,,,cinctipes,Plecoptera
Zapada cinctipes,05014REF,8/3/2005,1,no,,Zapada cinctipes,TRUE,FALSE,4,SH,uni,RHEO,NA,cool,,18.05684665,21.972,,,102594,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Nemourinae,,,Zapada,,,,,cinctipes,Plecoptera
Baetidae,05014REFa,8/3/2005,10,no,,Baetidae,TRUE,FALSE,4,CG,multi,UNKN,NA,eurythermal,,17.42937356,22.86,,yes,100755,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,,,,,,,Ephemeroptera
Brillia,05014REFa,8/3/2005,15,no,,Brillia,TRUE,FALSE,4,SH,multi,RHEO,NA,cool,,17.53917366,21.413,,,128477,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Brillia,,,,,,Chironomidae
Brillia,06095DFW,8/7/2006,17,no,,Brillia,TRUE,FALSE,4,SH,multi,RHEO,NA,cool,,17.53917366,21.413,,,128477,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Brillia,,,,,,Chironomidae
Ephemerella,05014REFa,8/3/2005,1,no,,Ephemerella,TRUE,FALSE,3,CG,uni,RHEO,NA,cool,,17.50536666,21.746,,yes,101233,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Ephemerella,,,,,,Ephemeroptera
Ephemerella,06095DFW,8/7/2006,6,no,,Ephemerella,TRUE,FALSE,3,CG,uni,RHEO,NA,cool,,17.50536666,21.746,,yes,101233,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Ephemerella,,,,,,Ephemeroptera
Eukiefferiella,05014REFa,8/3/2005,6,no,,Eukiefferiella,TRUE,FALSE,4,CG,multi,GENE,NA,eurythermal,,17.87417658,23.232,,yes,128689,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,,,,,Chironomidae
Eukiefferiella devonica group,05014REFa,8/3/2005,1,no,FORMATTING,Eukiefferiella devonica group,TRUE,FALSE,3,CG,multi,RHEO,NA,eurythermal,,18.51271588,24.5,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Devonica Gr.,,,,Chironomidae
Hexatoma,06095DFW,8/7/2006,3,no,,Hexatoma,TRUE,FALSE,3,PR,uni,DEPO,NA,cowa,,17.92651163,21.86,,,120094,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limnophilinae,,,Hexatoma,,,,,,Diptera
Hexatoma,05014REFa,8/3/2005,1,no,,Hexatoma,TRUE,FALSE,3,PR,uni,DEPO,NA,cowa,,17.92651163,21.86,,,120094,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limnophilinae,,,Hexatoma,,,,,,Diptera
Maruina,05014REFa,8/3/2005,2,no,,Maruina,TRUE,FALSE,3,SC,uni,SPEC,NA,cowa,,19.57138188,23.318,,,125392,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Psychodidae,Psychodinae,,,Maruina,,,,,,Diptera
Oreodytes,05014REFa,8/3/2005,1,no,Genera within Hydroporinae in flux best to leave at subfamily,Oreodytes,TRUE,FALSE,NA,PR,uni,RHEO,NA,cool,,18.77706682,21.861,,,112314,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,Hydroporini,,Oreodytes,,,,,,Coleoptera
Pagastia,05014REFa,8/3/2005,2,no,,Pagastia,TRUE,FALSE,3,CG,multi,GENE,NA,eurythermal,,16.41637278,22.15,,,128401,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,Diamesini,,Pagastia,,,,,,Chironomidae
Polycentropodidae,05014REFa,8/3/2005,1,no,,Polycentropodidae,TRUE,FALSE,3,PR,uni,GENE,NA,cool,,18.34176518,21.348,,,117043,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Polycentropodidae,,,,,,,,,,Trichoptera
Skwala,05014REFa,8/3/2005,1,no,,Skwala,TRUE,FALSE,3,PR,uni,RHEO,NA,cowa,,18.71662733,22.768,,,103102,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlodidae,Perlodinae,Arcynopterygini,,Skwala,,,,,,Plecoptera
Baetis tricaudatus complex,06095DFW,8/7/2006,21,no,,Baetis tricaudatus complex,TRUE,FALSE,4,CG,multi,RHEO,NA,cowa,,18.32886895,23.32,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,Rhodani Gr.,,tricaudatus complex,,Ephemeroptera
Brachycentrus,06095DFW,8/7/2006,1,no,,Brachycentrus,TRUE,FALSE,3,OM,uni,RHEO,NA,warm,,20.13117704,24.278,,yes,116906,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,Brachycentrus,,,,,,Trichoptera
Cinygmula,06095DFW,8/7/2006,39,no,,Cinygmula,TRUE,FALSE,3,SC,uni,RHEO,NA,cool,,15.88427194,20.184,cool,,100557,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Cinygmula,,,,,,Ephemeroptera
Corynoneura,06095DFW,8/7/2006,1,no,,Corynoneura,TRUE,FALSE,4,CG,multi,GENE,NA,eurythermal,,18.48004165,23.02,,,128563,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Corynoneura,,,,,,Chironomidae
Despaxia augusta,06095DFW,8/7/2006,2,yes,Single species in genus in NA,Despaxia,TRUE,FALSE,3,SH,uni,RHEO,NA,cool,,16.59784606,20.105,,,102841,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Leuctridae,Leuctrinae,,,Despaxia,,,,,,Plecoptera
Dicranota,06095DFW,8/7/2006,7,no,,Dicranota,TRUE,FALSE,4,PR,uni,GENE,NA,cool,,17.55891717,21.286,,,121027,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Pediciidae,Pediciinae,,,Dicranota,,,,,,Diptera
Dixa,06095DFW,8/7/2006,5,no,,Dixa,TRUE,FALSE,4,CG,multi,SPEC,NA,cool,,17.11366592,20.827,,,125810,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Dixidae,,,,Dixa,,,,,,Diptera
Dolophilodes,06095DFW,8/7/2006,5,no,,Dolophilodes,TRUE,FALSE,2,CF,uni,RHEO,TRUE,cold,,16.80253453,19.89,,,115319,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Philopotamidae,Philopotaminae,,,Dolophilodes,,,,,,Trichoptera
Doroneuria,06095DFW,8/7/2006,11,no,,Doroneuria,TRUE,FALSE,2,PR,semi,RHEO,NA,cold,,15.54581636,19.255,cold,,103121,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlidae,Acroneuriinae,Acroneuriini,,Doroneuria,,,,,,Plecoptera
Drunella coloradensis/flavilinea,06095DFW,8/7/2006,1,no,Formatting and consistency,Drunella coloradensis/flavilinea,TRUE,FALSE,3,SC,uni,RHEO,NA,cold,,15.21303147,18.998,cold,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Drunella,,,,,coloradensis/flavilinea,Ephemeroptera
Drunella grandis/spinifera,06095DFW,8/7/2006,3,no,Formatting and consistency,Drunella grandis/spinifera,TRUE,FALSE,3,PR,semi,RHEO,NA,cool,,15.69694931,20.712,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Drunella,,,,,grandis/spinifera,Ephemeroptera
Ecclisocosmoecus scylla,06095DFW,8/7/2006,1,no,single species in genus,Ecclisocosmoecus scylla,TRUE,FALSE,2,SH,semi,RHEO,TRUE,stenoc,,14.25516322,17.455,,,116342,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Ecclisocosmoecus,,,,,scylla,Trichoptera
Ecclisomyia,06095DFW,8/7/2006,4,no,,Ecclisomyia,TRUE,FALSE,2,OM,semi,GENE,NA,stenoc,,14.4306806,17.809,,,116025,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Ecclisomyia,,,,,,Trichoptera
Isoperla,06095DFW,8/7/2006,5,no,,Isoperla,TRUE,FALSE,3,PR,uni,RHEO,NA,cool,,15.94523518,21.618,,,102995,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlodidae,Isoperlinae,,,Isoperla,,,,,,Plecoptera
Lepidostoma,06095DFW,8/7/2006,1,no,formatting,Lepidostoma,TRUE,FALSE,3,SH,uni,DEPO,NA,eurythermal,,18.90659585,22.254,,,116794,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Lepidostomatidae,Lepidostomatinae,,,Lepidostoma,,,,,,Trichoptera
Moselia,06095DFW,8/7/2006,1,no,,Moselia,TRUE,FALSE,2,SH,uni,HEAD,TRUE,cold,,14.60978719,19.005,cold,,102909,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Leuctridae,Leuctrinae,,,Moselia,,,,,,Plecoptera
Neoleptophlebia/Paraleptophlebia,06095DFW,8/7/2006,4,no,Slashed taxon,Neoleptophlebia/Paraleptophlebia,TRUE,FALSE,3,CG,uni,DEPO,NA,eurythermal,,17.66311481,22.31,eurythermal,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Leptophlebiidae,,,,Neoleptophlebia/Paraleptophlebia,,,,,,Ephemeroptera
Pteronarcys,06095DFW,8/7/2006,6,no,,Pteronarcys,TRUE,FALSE,3,OM,semi,RHEO,NA,eurythermal,,17.19273742,22.466,,yes,102471,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Pteronarcyidae,Pteronarcyinae,Pteronarcyini,,Pteronarcys,,,,,,Plecoptera
Pteronarcys princeps,06095DFW,8/7/2006,5,no,,Pteronarcys princeps,TRUE,FALSE,3,OM,semi,RHEO,NA,cold,,16.1801,19.4,,,102484,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Pteronarcyidae,Pteronarcyinae,Pteronarcyini,,Pteronarcys,,,,,princeps,Plecoptera
Rhabdomastix,06095DFW,8/7/2006,1,no,,Rhabdomastix,TRUE,FALSE,3,SH,semi,SPEC,NA,cold,,15.26121922,19.952,,,120968,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Rhabdomastix,,,,,,Diptera
Rheocricotopus,06095DFW,8/7/2006,10,no,,Rheocricotopus,TRUE,FALSE,4,CG,multi,GENE,NA,eurythermal,,17.77513764,23.229,,,129086,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Rheocricotopus,,,,,,Chironomidae
Rhithrogena,06095DFW,8/7/2006,23,no,,Rhithrogena,TRUE,FALSE,4,SC,uni,RHEO,NA,cool,,15.94019123,21.836,,,100572,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Rhithrogena,,,,,,Ephemeroptera
Sphaeriidae,06095DFW,8/7/2006,1,no,,Sphaeriidae,TRUE,FALSE,4,CF,semi,GENE,NA,warm,,19.85247105,23.825,,,81389,Animalia,Mollusca,,Bivalvia,Heterodonta,Veneroida,,,Sphaeriidae,,,,,,,,,,Other Non-Insect
Sweltsa,06095DFW,8/7/2006,51,no,,Sweltsa,TRUE,FALSE,4,PR,uni,RHEO,NA,cool,,17.01649912,20.97,cool,,103273,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Chloroperlidae,Chloroperlinae,,,Sweltsa,,,,,,Plecoptera
Zavrelimyia,06095DFW,8/7/2006,9,no,Current Nomenclature,Zavrelimyia,TRUE,FALSE,4,PR,multi,GENE,NA,cool,,17.77100192,21.411,,,128259,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Zavrelimyia,,,,,,Chironomidae
Atrichopogon,06095DFW,8/7/2006,1,yes,,Forcipomyiinae,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amiocentrus aspilus,05014REF,8/3/2005,2,yes,backed off due to COI data,Amiocentrus,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amiocentrus aspilus,05014REFa,8/3/2005,4,yes,backed off due to COI data,Amiocentrus,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidostoma-panel case larvae,06095DFW,8/7/2006,5,yes,formatting,Lepidostoma,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroplectron californicum,05014REF,8/3/2005,1,yes,sinlge regional sp.,Heteroplectron,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eubrianax edwardsii,05014REFa,8/3/2005,42,yes,,Eubrianax,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eubrianax edwardsii,05014REF,8/3/2005,39,yes,,Eubrianax,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
